amount,hour,distance_km,device_score,international,merchant_risk,is_fraud
2300.47,8,8.26,0.633,1,0.086,0
3263.42,14,16.22,0.986,0,0.369,0
4528.52,23,0.5,0.863,0,0.31,0
1111.8,5,9.95,0.844,0,0.271,0
2453.61,1,8.5,0.858,0,0.227,0
1053.78,17,11.8,0.812,0,0.406,0
1103.63,14,0,0.807,0,0.114,0
798.52,5,0.74,0.724,0,0.237,0
10782.31,15,42.25,0.906,0,0.209,1
1638.2,8,12.21,0.653,0,0.273,0
1133.97,0,0,0.644,0,0.24,0
2268.02,15,2.28,0.95,0,0.226,0
1397.85,3,8.08,0.851,0,0.247,0
591.46,6,17.74,0.883,0,0.144,0
1749.9,6,27.36,0.949,0,0.118,0
4375.57,19,4.14,0.867,0,0.324,0
2029.64,17,10.7,0.95,0,0.24,0
2040.65,19,19.46,0.606,0,0.361,0
556.66,4,0.39,0.847,1,0.547,0
901.14,9,0,0.808,0,0.129,0
4686.77,5,35.07,0.615,0,0.648,1
351.62,7,3.92,0.758,1,0.445,0
1336.29,8,24.68,0.754,0,0.375,0
8754.84,23,42.64,0.944,0,0.32,0
2020.39,21,29.0,0.914,1,0.175,0
1586.6,15,0,0.738,0,0.558,0
335.03,4,19.11,0.937,0,0.151,0
3023.24,13,9.72,0.604,0,0.115,0
3948.52,23,20.32,0.712,0,0.19,0
2904.75,10,0,0.891,0,0.265,0
9560.16,22,38.7,0.831,0,0.216,0
844.06,12,11.79,0.784,0,0.303,0
563.71,1,7.15,0.566,0,0.102,0
121.38,19,21.33,0.591,0,0.526,0
551.64,21,20.19,0.882,0,0.284,0
2124.96,2,0.05,0.565,1,0.52,0
230.23,17,10.59,0.892,0,0.138,0
1033.32,10,0,0.511,0,0.751,1
3765.99,7,0.12,0.928,0,0.205,0
3381.25,22,0,0.87,0,0.361,0
707.2,16,0,0.884,0,0.05,0
885.2,10,0,0.909,1,0.162,0
5698.13,19,10.78,0.537,0,0.273,0
418.06,5,26.03,0.87,0,0.335,0
689.44,8,12.95,0.834,0,0.107,0
1189.63,22,0,0.831,0,0.264,0
431.7,18,5.38,0.803,0,0.365,0
1650.09,10,6.4,0.865,0,0.368,0
1282.9,0,0,0.815,0,0.328,0
1058.0,17,0,0.686,1,0.167,0
1700.47,14,0,0.914,0,0.304,0
2187.73,14,3.33,0.905,0,0.173,0
1306.58,14,34.69,0.962,0,0.547,0
6331.37,20,27.32,0.953,0,0.222,0
1020.97,4,8.56,0.914,0,0.358,0
1461.71,14,23.45,0.944,0,0.352,0
778.16,15,19.52,0.98,0,0.261,0
3493.86,6,17.13,0.699,0,0.307,0
2997.69,2,19.25,0.6,0,0.408,0
5614.4,10,0.82,0.957,0,0.413,0
563.76,8,0,0.778,0,0.287,0
4493.81,2,4.24,0.714,1,0.19,0
3746.65,18,7.58,0.765,0,0.058,0
56290.58,11,0,0.777,0,0.104,0
3976.83,7,3.98,0.835,1,0.05,0
2146.28,15,15.46,0.726,0,0.196,0
2320.07,15,17.08,0.69,0,0.11,0
1083.63,9,0,0.922,0,0.295,0
889.77,14,0,0.839,0,0.454,0
1400.22,1,22.42,0.853,0,0.241,0
2347.78,18,0,0.831,1,0.203,0
3422.14,17,7.6,0.755,0,0.209,0
775.26,10,15.12,0.695,0,0.099,0
661.78,11,18.83,0.678,0,0.057,0
1013.7,8,6.14,0.913,0,0.359,0
1469.99,2,15.35,0.831,0,0.183,0
616.75,16,34.7,0.775,0,0.595,0
929.22,20,22.39,0.563,0,0.198,0
